Mapa;Fase;Veiculo;Placa;Frota Cadastro;Tipo Mapa  ;Entrega;Emissao;DtOper;HrOper;Usuario;Lacre-1;Lacre-2;Lacre-3;Lacre-4;Motorista;DtIniCarreg;HrIniCarreg;DtFimCarreg;HrFimCarreg;KmPrev;KmAtual;Conferente;Destino;Promax/RF;Liberacao;Frota Mapa;Motivo Nao Carreg        ;Cx Carregadas;MinOper
020185;Gerado               ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;31/03/2026;20:33;lucas.se    ;            ;            ;            ;            ;70048;          ;     ;          ;     ;00129;0000000;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Emitido              ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;31/03/2026;20:50;lucas.se    ;            ;            ;            ;            ;70048;          ;     ;          ;     ;00129;0000000;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Carga Montada        ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;31/03/2026;22:57;WMS         ;            ;            ;            ;            ;70048;          ;     ;          ;     ;00129;0000000;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Carga Conferida      ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;01/04/2026;00:05;WMS         ;            ;            ;            ;            ;70048;          ;     ;          ;     ;00129;0000000;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Carregado            ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;01/04/2026;00:05;WMS         ;1           ;0           ;0           ;0           ;70090;01/04/2026;00:05;01/04/2026;00:05;00129;0031950;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Saida Cdd/Fab        ;009;SJQ0E61;Padronizada;Recarga Rota             ;               ;01/04/2026;01/04/2026;06:11;portaria.se ;            ;            ;            ;            ;70087;          ;     ;          ;     ;00129;0000000;00000   ;Rota         ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;Entrada Cdd/Fab      ;009;SJQ0E61;Padronizada;Rota                     ;               ;01/04/2026;02/04/2026;13:33;mauricio.se ;            ;            ;            ;            ;70087;          ;     ;          ;     ;00129;0000000;00000   ;Rota         ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;       1882
020185;PC_Fisica            ;009;SJQ0E61;Padronizada;Rota                     ;               ;01/04/2026;02/04/2026;13:38;WMS         ;            ;            ;            ;            ;70087;          ;     ;          ;     ;00129;0032202;00000   ;             ;WMS            ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020185;PC_Financeira        ;009;SJQ0E61;Padronizada;Rota                     ;               ;01/04/2026;02/04/2026;13:56;caixa.se    ;            ;            ;            ;            ;70087;          ;     ;          ;     ;00129;0000000;00000   ;             ;Promax         ;02/04/2026;Padronizada;00                                                            ;        180,86;           
020186;Gerado               ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;31/03/2026;20:33;lucas.se    ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Emitido              ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;31/03/2026;20:50;lucas.se    ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Carga Montada        ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;31/03/2026;22:43;WMS         ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Carga Conferida      ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;31/03/2026;23:16;WMS         ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Carregado            ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;31/03/2026;23:16;WMS         ;1           ;0           ;0           ;0           ;70044;01/04/2026;23:16;01/04/2026;23:16;00011;0083569;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Saida Cdd/Fab        ;013;SJQ2B64;Fixo       ;Recarga Rota             ;               ;01/04/2026;01/04/2026;07:03;portaria.se ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;Rota         ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;Entrada Cdd/Fab      ;013;SJQ2B64;Fixo       ;Rota                     ;               ;01/04/2026;02/04/2026;06:33;bispo.se    ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;Rota         ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;       1410
020186;PC_Fisica            ;013;SJQ2B64;Fixo       ;Rota                     ;               ;01/04/2026;02/04/2026;06:41;WMS         ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0083700;00000   ;             ;WMS            ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020186;PC_Financeira        ;013;SJQ2B64;Fixo       ;Rota                     ;               ;01/04/2026;02/04/2026;13:18;caixa.se    ;            ;            ;            ;            ;70044;          ;     ;          ;     ;00011;0000000;00000   ;             ;Promax         ;02/04/2026;Fixo       ;00                                                            ;        278,83;           
020187;Gerado               ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;20:33;lucas.se    ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Emitido              ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;20:50;lucas.se    ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Carga Montada        ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;23:16;WMS         ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Carga Conferida      ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;23:45;WMS         ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Carregado            ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;23:45;WMS         ;1           ;0           ;0           ;0           ;70055;01/04/2026;23:45;01/04/2026;23:45;00081;0057791;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Saida Cdd/Fab        ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;08:22;portaria.se ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;Rota         ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;Entrada Cdd/Fab      ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;17:40;jadson.se   ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;Rota         ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;        558
020187;PC_Financeira        ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;17:48;caixa.se    ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020187;PC_Fisica            ;012;SJQ9B48;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;17:53;WMS         ;            ;            ;            ;            ;70055;          ;     ;          ;     ;00081;0057889;00000   ;             ;WMS            ;01/04/2026;Padronizada;00                                                            ;        412,42;           
020188;Gerado               ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;20:33;lucas.se    ;            ;            ;            ;            ;70064;          ;     ;          ;     ;00119;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
020188;Emitido              ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;20:50;lucas.se    ;            ;            ;            ;            ;70064;          ;     ;          ;     ;00119;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
020188;Carga Montada        ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;31/03/2026;23:50;WMS         ;            ;            ;            ;            ;70064;          ;     ;          ;     ;00119;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
020188;Carga Conferida      ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;01:03;WMS         ;            ;            ;            ;            ;70064;          ;     ;          ;     ;00119;0000000;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
020188;Carregado            ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;01:03;WMS         ;1           ;0           ;0           ;0           ;70064;01/04/2026;01:03;01/04/2026;01:03;00119;0051755;00000   ;             ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
020188;Saida Cdd/Fab        ;014;SJQ4A76;Padronizada;Rota                     ;               ;01/04/2026;01/04/2026;08:13;portaria.se ;            ;            ;            ;            ;70064;          ;     ;          ;     ;00119;0000000;00000   ;Rota         ;Promax         ;01/04/2026;Padronizada;00                                                            ;        263,75;           
