Mapa;Fase;Veiculo;Placa;Frota Cadastro;Tipo Mapa  ;Entrega;Emissao;DtOper;HrOper;Usuario;Lacre-1;Lacre-2;Lacre-3;Lacre-4;Motorista;DtIniCarreg;HrIniCarreg;DtFimCarreg;HrFimCarreg;KmPrev;KmAtual;Conferente;Destino;Promax/RF;Liberacao;Frota Mapa;Motivo Nao Carreg        ;Cx Carregadas;MinOper
080694;Gerado               ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;19:34;reis        ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Emitido              ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;20:06;reis        ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Carga Montada        ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;22:39;WMS         ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Carga Conferida      ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;23:07;WMS         ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Carregado            ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;23:07;WMS         ;0           ;0           ;0           ;0           ;00221;01/08/2025;23:07;01/08/2025;23:07;00231;0182697;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Saida Cdd/Fab        ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;01/08/2025;08:03;douglas.rp  ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;Rota         ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;Entrada Cdd/Fab      ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;01/08/2025;15:56;douglas.rp  ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;Rota         ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;        473
080694;PC_Financeira        ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;01/08/2025;15:57;dias        ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080694;PC_Fisica            ;187;RPH8B48;Padronizada;Rota                     ;               ;01/08/2025;01/08/2025;16:01;WMS         ;            ;            ;            ;            ;00221;          ;     ;          ;     ;00231;0182937;00000   ;             ;WMS            ;01/08/2025;Padronizada;00                                                            ;        310,85;           
080695;Gerado               ;279;SJQ6F87;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;19:34;reis        ;            ;            ;            ;            ;00218;          ;     ;          ;     ;00212;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        210,35;           
080695;Emitido              ;279;SJQ6F87;Padronizada;Rota                     ;               ;01/08/2025;31/07/2025;20:06;reis        ;            ;            ;            ;            ;00218;          ;     ;          ;     ;00212;0000000;00000   ;             ;Promax         ;01/08/2025;Padronizada;00                                                            ;        210,35;           
