Mapa;Fase;Veiculo;Placa;Frota Cadastro;Tipo Mapa  ;Entrega;Emissao;DtOper;HrOper;Usuario;Lacre-1;Lacre-2;Lacre-3;Lacre-4;Motorista;DtIniCarreg;HrIniCarreg;DtFimCarreg;HrFimCarreg;KmPrev;KmAtual;Conferente;Destino;Promax/RF;Liberacao;Frota Mapa;Motivo Nao Carreg        ;Cx Carregadas;MinOper
186979;Gerado               ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;15:53;mario.pe    ;            ;            ;            ;            ;00127;          ;     ;          ;     ;00233;0000000;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Emitido              ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;16:27;            ;            ;            ;            ;            ;00127;          ;     ;          ;     ;00233;0000000;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Carga Montada        ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;19:39;WMS         ;            ;            ;            ;            ;00127;          ;     ;          ;     ;00233;0000000;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Carga Conferida      ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;21:23;WMS         ;            ;            ;            ;            ;00127;          ;     ;          ;     ;00233;0000000;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Carregado            ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;21:23;WMS         ;0           ;0           ;0           ;0           ;00087;31/05/2025;21:23;31/05/2025;21:23;00233;0152273;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Saida Cdd/Fab        ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;02/06/2025;08:23;portariape  ;            ;            ;            ;            ;00087;          ;     ;          ;     ;00233;0000000;00000   ;Rota         ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;Entrada Cdd/Fab      ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;02/06/2025;16:21;jhon.pe     ;            ;            ;            ;            ;00087;          ;     ;          ;     ;00233;0000000;00000   ;Rota         ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;        478
186979;PC_Fisica            ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;02/06/2025;16:27;WMS         ;            ;            ;            ;            ;00087;          ;     ;          ;     ;00233;0152507;00000   ;             ;WMS            ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186979;PC_Financeira        ;015;QYB6002;Padronizada;Rota                     ;               ;02/06/2025;02/06/2025;16:30;machado     ;            ;            ;            ;            ;00087;          ;     ;          ;     ;00233;0000000;00000   ;             ;Promax         ;02/06/2025;Padronizada;00                                                            ;        400,60;           
186980;Gerado               ;136;PCI2783;Padronizada;Rota                     ;               ;02/06/2025;31/05/2025;15:53;mario.pe    ;            ;            ;            ;            ;00037;          ;     ;          ;     ;00236;0000000;00000   ;             ;Promax         ;03/06/2025;Padronizada;00                                                            ;        409,58;           
